HALO WIND TUNNEL TEST PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run matrix for UAV testing.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HALO Test Information,,,,,Exterior Noise Source Info,,UAV Information,,,,,,,,,,,,,,,,,,
Run #,Run Name,"HALO 
Sequence","Flow Speed
(k/hr)","Turbulence Plate
Installed?",HALO Test Attributes,"Duration 
[s]",Sound Source Tone,Active Point Source Location,"Hover or 
Traversing Flight",Traverse Speed [m/s],Number of UAVs,"UAV 1
Active?",UAV 1 Location / Path,UAV 1 Altitude,"UAV 2
Active?",UAV 2 Location,UAV 2 Altitude,"UAV 3
Active?",UAV 3 Location,UAV 3 Altitude,"UAV 4
Active?",UAV 4 Location,UAV 4 Altitude,"UAV 5
Active?",UAV 5 Location,UAV 5 Altitude,Notes / Configurations
6,1Max-H-Pt1-Alt3-SS,1,0,No,Arrays & Press,30,Tone,1,H,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,0,No,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
7,1Max-T-Pt5-AltS-SS,2,0,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,0,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,0,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,0,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,w/ repeats to inspect variability,,6,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
8,1Max-T-Pt1-AltS-SS,1,0,No,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,0,No,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
9,,2,0,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Y-Sweep""",No,,,No,,,No,,,No,,,
,,,0,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Y-Sweep""",No,,,No,,,No,,,No,,,
,,,0,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Y-Sweep""",No,,,No,,,No,,,No,,,
,,,0,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Y-Sweep""",No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Y-Sweep""",No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Y-Sweep""",No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Y-Sweep""",No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Y-Sweep""",No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Y-Sweep""",No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Y-Sweep""",No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Y-Sweep""",No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Y-Sweep""",No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Y-Sweep""",No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Y-Sweep""",No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Y-Sweep""",No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Y-Sweep""",No,,,No,,,No,,,No,,,
10,1Max-H-Pt5-Alt1-TP,1,0,Yes,Arrays & Press,30,Tone,1,H,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
11,1Max-H-Pt5-Alt2-TP,1,0,Yes,Arrays & Press,30,Tone,1,H,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
12,1Max-H-Pt5-Alt3-TP,1,0,Yes,Arrays & Press,30,Tone,1,H,,1,Yes,(2 2),3,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),3,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),3,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),3,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),3,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),3,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),3,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),3,No,,,No,,,No,,,No,,,
13,1Max-H-Pt1-Alt1-TP,1,0,Yes,Arrays & Press,30,Tone,1,H,,1,Yes,(1 1),1,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),1,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),1,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),1,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),1,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),1,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),1,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),1,No,,,No,,,No,,,No,,,
14,1Max-H-Pt1-Alt2-TP,1,0,Yes,Arrays & Press,30,Tone,1,H,,1,Yes,(1 1),2,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),2,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),2,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),2,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),2,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),2,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),2,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),2,No,,,No,,,No,,,No,,,
15,1Max-H-Pt1-Alt3-TP,1,0,Yes,Arrays & Press,30,Tone,1,H,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Chirp,1,,,1,Yes,(1 1),3,No,,,No,,,No,,,No,,,
16,1Max-T-Pt5-AltS-TP,2,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,w/ repeats to inspect variability,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(2 2),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
17,1Max-T-Pt1-AltS-TP,1,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""-Z-Sweep""",No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,(1 1),"""+Z-Sweep""",No,,,No,,,No,,,No,,,
18,1Max-Ty-Pt1-Alt2-TP,2,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",2,No,,,No,,,No,,,No,,,
19,1Max-Ty-Pt1-Alt3-TP,2,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",3,No,,,No,,,No,,,No,,,
20,1Max-Ty-Pt1-Alt1-TP,2,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,0,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
